rep-seed	SRC	phase	AC-fill	NG-fill	RC-fill	AC-overlap	NG-overlap	RC-overlap	total-quantity	AC-deployable	NG-deployable	RC-deployable	AC-not-ready	NG-not-ready	RC-not-ready	AC-total	NG-total	RC-total	AC	NG	RC
6809089882916169883	77202K000	Surge	0	0	0	0	0	0	0	134	0	0	5179	0	0	5313	0	0	23	0	0
6809089882916169883	77202K000	PostSurge	2433	0	0	239	0	0	6592	7616	0	0	35528	0	0	45816	0	0	23	0	0
-6702724865295600521	77202K000	PreSurge	0	0	0	0	0	0	0	8339	0	538	0	0	0	8339	0	538	31	0	2
-6702724865295600521	77202K000	Surge	0	0	0	0	0	0	0	246	0	101	6915	0	361	7161	0	462	31	0	2
-6702724865295600521	77202K000	PostSurge	2955	0	240	250	0	30	6592	10390	0	365	48157	0	3349	61752	0	3984	31	0	2
-478957009993612106	77202K000	PreSurge	0	0	0	0	0	0	0	4842	0	538	0	0	0	4842	0	538	18	0	2
-478957009993612106	77202K000	Surge	0	0	0	0	0	0	0	156	0	104	4002	0	358	4158	0	462	18	0	2
-478957009993612106	77202K000	PostSurge	2655	0	480	240	0	59	6592	5512	0	486	27449	0	2959	35856	0	3984	18	0	2
-924917377818437675	77202K000	PreSurge	0	0	0	0	0	0	0	2690	0	807	0	0	0	2690	0	807	10	0	3
-924917377818437675	77202K000	Surge	0	0	0	0	0	0	0	1	0	0	2309	0	693	2310	0	693	10	0	3
-924917377818437675	77202K000	PostSurge	1427	0	355	150	0	30	6592	3085	0	855	15258	0	4736	19920	0	5976	10	0	3
-5286721520629762393	77202K000	PreSurge	0	0	0	0	0	0	0	538	0	269	0	0	0	538	0	269	2	0	1
-5286721520629762393	77202K000	Surge	0	0	0	0	0	0	0	0	0	0	462	0	231	462	0	231	2	0	1
-5286721520629762393	77202K000	PostSurge	480	0	240	60	0	30	6592	410	0	15	3034	0	1707	3984	0	1992	2	0	1
5380112710085299282	77202K000	PreSurge	0	0	0	0	0	0	0	1076	0	538	0	0	0	1076	0	538	4	0	2
5380112710085299282	77202K000	Surge	0	0	0	0	0	0	0	0	0	0	924	0	462	924	0	462	4	0	2
5380112710085299282	77202K000	PostSurge	960	0	480	120	0	60	6592	713	0	191	6175	0	3253	7968	0	3984	4	0	2
-3311341186503823761	77202K000	PreSurge	0	0	0	0	0	0	0	3497	0	0	0	0	0	3497	0	0	13	0	0
-3311341186503823761	77202K000	Surge	0	0	0	0	0	0	0	67	0	0	2936	0	0	3003	0	0	13	0	0
-3311341186503823761	77202K000	PostSurge	2169	0	0	264	0	0	6592	3861	0	0	19602	0	0	25896	0	0	13	0	0
8865034956231574663	77202K000	PreSurge	0	0	0	0	0	0	0	807	0	538	0	0	0	807	0	538	3	0	2
8865034956231574663	77202K000	Surge	0	0	0	0	0	0	0	30	0	0	663	0	462	693	0	462	3	0	2
8865034956231574663	77202K000	PostSurge	720	0	480	90	0	60	6592	729	0	379	4437	0	3065	5976	0	3984	3	0	2
8719562077786624187	77202K000	PreSurge	0	0	0	0	0	0	0	4304	0	0	0	0	0	4304	0	0	16	0	0
8719562077786624187	77202K000	Surge	0	0	0	0	0	0	0	2	0	0	3694	0	0	3696	0	0	16	0	0
8719562077786624187	77202K000	PostSurge	1738	0	0	180	0	0	6592	5458	0	0	24496	0	0	31872	0	0	16	0	0
8436011436776032633	77202K000	PreSurge	0	0	0	0	0	0	0	2152	0	538	0	0	0	2152	0	538	8	0	2
8436011436776032633	77202K000	Surge	0	0	0	0	0	0	0	76	0	0	1772	0	462	1848	0	462	8	0	2
8436011436776032633	77202K000	PostSurge	1200	0	355	121	0	30	6592	2457	0	561	12158	0	3038	15936	0	3984	8	0	2
8651938460229599588	77202K000	PreSurge	0	0	0	0	0	0	0	1883	0	269	0	0	0	1883	0	269	7	0	1
8651938460229599588	77202K000	Surge	0	0	0	0	0	0	0	123	0	0	1494	0	231	1617	0	231	7	0	1
8651938460229599588	77202K000	PostSurge	1036	0	240	97	0	30	6592	2177	0	86	10634	0	1636	13944	0	1992	7	0	1
-3185338829648084755	77202K000	PreSurge	0	0	0	0	0	0	0	2959	0	807	0	0	0	2959	0	807	11	0	3
-3185338829648084755	77202K000	Surge	0	0	0	0	0	0	0	0	0	100	2541	0	593	2541	0	693	11	0	3
-3185338829648084755	77202K000	PostSurge	1447	0	720	180	0	90	6592	3331	0	276	16954	0	4890	21912	0	5976	11	0	3
2786040548068544931	77202K000	PreSurge	0	0	0	0	0	0	0	269	0	269	0	0	0	269	0	269	1	0	1
2786040548068544931	77202K000	Surge	0	0	0	0	0	0	0	0	0	0	231	0	231	231	0	231	1	0	1
2786040548068544931	77202K000	PostSurge	240	0	240	30	0	30	6592	0	0	230	1722	0	1492	1992	0	1992	1	0	1
-3064627001040919599	77202K000	PreSurge	0	0	0	0	0	0	0	4573	0	807	0	0	0	4573	0	807	17	0	3
-3064627001040919599	77202K000	Surge	0	0	0	0	0	0	0	0	0	0	3927	0	693	3927	0	693	17	0	3
-3064627001040919599	77202K000	PostSurge	2012	0	281	234	0	30	6592	5376	0	1025	26242	0	4640	33864	0	5976	17	0	3
5175639579568511616	77202K000	PreSurge	0	0	0	0	0	0	0	269	0	269	0	0	0	269	0	269	1	0	1
5175639579568511616	77202K000	Surge	0	0	0	0	0	0	0	0	0	0	231	0	231	231	0	231	1	0	1
5175639579568511616	77202K000	PostSurge	240	0	240	4	0	30	6592	16	0	86	1732	0	1636	1992	0	1992	1	0	1
3614901514407423006	77202K000	PreSurge	0	0	0	0	0	0	0	4304	0	538	0	0	0	4304	0	538	16	0	2
3614901514407423006	77202K000	Surge	0	0	0	0	0	0	0	22	0	231	3674	0	231	3696	0	462	16	0	2
3614901514407423006	77202K000	PostSurge	1491	0	240	150	0	30	6592	5253	0	415	24978	0	3299	31872	0	3984	16	0	2
8491153766255516575	77202K000	PreSurge	0	0	0	0	0	0	0	2152	0	269	0	0	0	2152	0	269	8	0	1
8491153766255516575	77202K000	Surge	0	0	0	0	0	0	0	49	0	0	1799	0	231	1848	0	231	8	0	1
8491153766255516575	77202K000	PostSurge	1493	0	240	150	0	30	6592	2009	0	72	12284	0	1650	15936	0	1992	8	0	1
3307011078434949678	77202K000	PreSurge	0	0	0	0	0	0	0	4035	0	538	0	0	0	4035	0	538	15	0	2
3307011078434949678	77202K000	Surge	0	0	0	0	0	0	0	403	0	0	3062	0	462	3465	0	462	15	0	2
3307011078434949678	77202K000	PostSurge	2641	0	316	304	0	30	6592	4073	0	346	22862	0	3292	29880	0	3984	15	0	2
-2477641376863858799	77202K000	PreSurge	0	0	0	0	0	0	0	2959	0	269	0	0	0	2959	0	269	11	0	1
-2477641376863858799	77202K000	Surge	0	0	0	0	0	0	0	79	0	0	2462	0	231	2541	0	231	11	0	1
